title,source,link asli,published,content,category,sentimen
Usmile Indonesia Jadi Top ‘Premium’ Oral Care Brand di TikTok Shop - portonews,portonews,https://portonews.com/2026/kesehatan/usmile-indonesia-jadi-top-premium-oral-care-brand-di-tiktok-shop/,2026-04-09 06:22:08,,Bisnis,Positif
"Konten Jadi Penggerak Utama E-commerce, Penjualan Februari 2026 Capai Rp 96,7 Triliun - Koran Manado",Koran Manado,https://www.koranmanado.co.id/konten-penggerak-ecommerce-penjualan-februari-2026,2026-04-11 14:37:35,,Bisnis,Positif
"Belanja Online di Indonesia Hampir Rp1.000 Triliun, Tumbuh Paling Kecil Se-ASEAN - Katadata.co.id",Katadata.co.id,https://katadata.co.id/digital/e-commerce/69dd0765666af/belanja-online-di-indonesia-hampir-rp1000-triliun-tumbuh-paling-kecil-se-asean,2026-04-14 00:00:00,,Bisnis,Negatif
Transaksi Tokopedia dan TikTok Shop Melonjak 15 Kali Lipat - Marketeers,Marketeers,https://www.marketeers.com/transaksi-tokopedia-dan-tiktok-shop-melonjak-15-kali-lipat/,2026-04-02 05:49:43,,Bisnis,Positif
Praktisi: Konten sebagai penggerak kinerja perdagangan - ANTARA News Megapolitan,ANTARA News Megapolitan,https://megapolitan.antaranews.com/berita/522764/praktisi-konten-sebagai-penggerak-kinerja-perdagangan,2026-04-11 01:43:05,,Strategi,Netral
Indonesia Becomes the Second Largest Market for TikTok Shop - Kompas.id,Kompas.id,https://www.kompas.id/artikel/en-indonesia-menjadi-pasar-terbesar-kedua-bagi-tiktok-shop,2026-02-12 08:00:00,,Bisnis,Positif
Rekap Ramadan Ekstra Seru 2026 Tokopedia & TikTok Shop: Transaksi Sahur Naik 15 Kali - Neraca.co.id,Neraca.co.id,https://www.neraca.co.id/article/235191/rekap-ramadan-ekstra-seru-2026-tokopedia-tiktok-shop-transaksi-sahur-naik-15-kali,2026-04-01 07:00:00,,Bisnis,Positif
Tokopedia & TikTok Shop Indonesia Seller Summit 2026 - Neraca.co.id,Neraca.co.id,https://www.neraca.co.id/article/232296/tokopedia-tiktok-shop-indonesia-seller-summit-2026,2026-01-30 08:00:00,,Event,Netral
"Sinergi TikTok, Tokopedia, TikTok Shop Buat Ramadan Ekstra Seru, Aktivitas Ekonomi Melaju - Neraca.co.id",Neraca.co.id,https://www.neraca.co.id/article/234039/sinergi-tiktok-tokopedia-tiktok-shop-buat-ramadan-ekstra-seru-aktivitas-ekonomi-melaju,2026-03-04 08:00:00,,Strategi,Positif
Bocoran Strategi Cuan Ramadan 2026! Tokopedia & TikTok Shop Ungkap Rahasia Sukses di Indonesia Summit - LombokPost,LombokPost,https://lombokpost.jawapos.com/nasional/2601270079/bocoran-strategi-cuan-ramadan-2026-tokopedia-tiktok-shop-ungkap-rahasia-sukses-di-indonesia-summit,2026-04-03 15:18:44,,Strategi,Positif
TikTok Shop Kian Mendominasi Sektor Social Commerce di Indonesia - Marketeers,Marketeers,https://www.marketeers.com/tiktok-shop-kian-mendominasi-sektor-social-commerce-di-indonesia/,2025-10-20 07:00:00,,Bisnis,Positif
"TikTok Shop Dipastikan Buka Lagi di Indonesia, Bakal Gandeng E-Commers Lokal - Radar Jogja",Radar Jogja,https://radarjogja.jawapos.com/ekonomi/2311280081/tiktok-shop-dipastikan-buka-lagi-di-indonesia-bakal-gandeng-e-commers-lokal,2026-04-07 07:00:00,,Bisnis,Positif
Tiktok Shop Resmi Buka Penjualan Lintas Negara untuk Produk Merek Indonesia - Kompas.id,Kompas.id,https://www.kompas.id/artikel/tiktok-shop-resmi-buka-penjualan-lintas-negara-untuk-merek-lokal-indonesia,2025-12-03 08:00:00,,Bisnis,Positif
"Bos Baru Tokopedia-TikTok Shop Belum Jelas, CEO Lama Jadi Komisaris - CNBC Indonesia",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20260122165903-37-704480/bos-baru-tokopedia-tiktok-shop-belum-jelas-ceo-lama-jadi-komisaris,2026-01-22 08:00:00,,Isu,Netral
Nilai Transaksi TikTok Shop di Indonesia Capai Rp101 T - Bloomberg Technoz,Bloomberg Technoz,https://www.bloombergtechnoz.com/detail-infografis/762/nilai-transaksi-tiktok-shop-di-indonesia-capai-rp101-t,2025-09-03 07:00:00,,Bisnis,Positif
Tokopedia dan TikTok Shop Hadirkan Indonesia Summit 2026 - Batam Pos,Batam Pos,https://news.batampos.co.id/tokopedia-dan-tiktok-shop-hadirkan-indonesia-summit-2026/,2026-01-28 08:00:00,,Event,Netral
"Nilai Transaksi TikTok Shop di Indonesia Rp101 T, Terbesar ke-2 - Bloomberg Technoz",Bloomberg Technoz,https://www.bloombergtechnoz.com/detail-news/82675/nilai-transaksi-tiktok-shop-di-indonesia-rp101-t-terbesar-ke-2,2025-09-02 07:00:00,,Bisnis,Positif
TikTok Shop Berdayakan Masa Depan Digital ASEAN dengan Membuka Potensi Penuh bagi UMKM - Newsroom | TikTok,Newsroom | TikTok,http://newsroom.tiktok.com/tiktok-shop-berdayakan-masa-depan-digital-asean-dengan-membuka-potensi-penuh-bagi-umkm?lang=id-ID,2025-11-07 08:00:00,,Strategi,Positif
TikTok Shop Bebankan Biaya Retur Barang Kepada Penjual Mulai Juni 2026 - haloindonesia.co.id,haloindonesia.co.id,https://www.haloindonesia.co.id/tiktok-shop-biaya-retur-penjual,2026-04-14 03:24:12,,Bisnis,Negatif
Seller TikTok Indonesia: Panduan Sukses Jualan dan Raup Cuan dari TikTok Shop - Radar Nganjuk,Radar Nganjuk,https://radarnganjuk.jawapos.com/gaya-hidup/2506020027/seller-tiktok-indonesia-panduan-sukses-jualan-dan-raup-cuan-dari-tiktok-shop,2026-04-03 13:49:27,,Edukasi,Positif
TikTok Shop dikabarkan PHK massal pegawai di Indonesia - IDNFinancials.com,IDNFinancials.com,https://www.idnfinancials.com/id/news/54938/tiktok-shop-dikabarkan-phk-massal-pegawai-di-indonesia,2025-05-31 07:00:00,,Isu,Negatif
"Indonesia Summit 2026, Tokopedia dan TikTok Shop Perkuat Affiliate Creator - RM.ID",RM.ID,https://rm.id/baca-berita/ekonomi-bisnis/299756/indonesia-summit-2026-tokopedia-dan-tiktok-shop-perkuat-affiliate-creator,2026-02-05 08:00:00,,Event,Positif
"Akhir Tahun, Tokopedia-TikTok Shop Siapkan Beberapa Program Belanja - Marketeers",Marketeers,https://www.marketeers.com/akhir-tahun-tokopedia-tiktok-shop-siapkan-beberapa-program-belanja/,2025-12-04 08:00:00,,Strategi,Positif
TikTok Shop Officially Opens Cross-Border Sales for Indonesian Brand Products - Kompas.id,Kompas.id,https://www.kompas.id/artikel/en-tiktok-shop-resmi-buka-penjualan-lintas-negara-untuk-merek-lokal-indonesia,2025-12-03 08:00:00,,Bisnis,Positif
"Awal Ramadan, Transaksi Tokopedia–TikTok Shop Naik Didukung Belanja Berbasis Konten - kontan.co.id",kontan.co.id,https://industri.kontan.co.id/news/awal-ramadan-transaksi-tokopediatiktok-shop-naik-didukung-belanja-berbasis-konten,2026-03-05 08:00:00,,Bisnis,Positif
Respons Bos Tokopedia-TikTok Shop soal Rencana Pengaturan Biaya Admin Pedagang - Bisnis Tekno,Bisnis Tekno,https://teknologi.bisnis.com/read/20260127/84/1947675/respons-bos-tokopedia-tiktok-shop-soal-rencana-pengaturan-biaya-admin-pedagang,2026-01-27 08:00:00,,Isu,Netral
FOTO: Tokopedia & TikTok Shop Indonesia Seller Summit 2026 - SINDOnews.com,SINDOnews.com,https://media.sindonews.com/foto/view/70889/1/tokopedia-tiktok-shop-indonesia-seller-summit-2026,2026-01-30 08:00:00,,Event,Netral
"Shopee Terpopuler di Indonesia 2025, Lewati Tokopedia, TikTok Shop Penantang Utama - MSN",MSN,https://www.msn.com/id-id/berita/other/shopee-terpopuler-di-indonesia-2025-lewati-tokopedia-tiktok-shop-penantang-utama/ar-AA1Kkul7?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,2025-09-07 20:56:14,,Bisnis,Negatif
Promo Tanggal Kembar Tokopedia dan TikTok Shop Dorong Pertumbuhan Ekonomi di Berbagai Wilayah Indonesia - SWA.co.id,SWA.co.id,https://swa.co.id/read/465794/promo-tanggal-kembar-tokopedia-dan-tiktok-shop-dorong-pertumbuhan-ekonomi-di-berbagai-wilayah-indonesia,2025-11-06 08:00:00,,Strategi,Positif
Galeri Foto - Tokopedia & TikTok Shop Indonesia Summit 2026 - Warta Ekonomi,Warta Ekonomi,https://wartaekonomi.co.id/gallery-9444/tokopedia-tiktok-shop-indonesia-summit-2026,2026-01-30 08:00:00,,Event,Netral
TikTok Responds Diplomatically to News of Tokopedia Employee Layoffs - Kompas.id,Kompas.id,https://www.kompas.id/artikel/en-tiktok-respon-isu-phk-di-tokopedia-evaluasi-dan-penyesuaian-rutin-dilakukan,2025-08-25 07:00:00,,Isu,Negatif
"Tokopedia dan TikTok Shop Gelar Indonesia Summit 2026, Perkuat Peran Penjual dan Affiliate di Era Discovery E-commerce - metapos.id",metapos.id,https://www.metapos.id/tokopedia-dan-tiktok-shop-gelar-indonesia-summit-2026-perkuat-peran-penjual-dan-affiliate-di-era-discovery-e-commerce/,2026-01-27 08:00:00,,Event,Positif
Riset: TikTok Shop hingga Shopee kini tak hanya berebut pasar - IDNFinancials.com,IDNFinancials.com,https://www.idnfinancials.com/id/news/56035/riset-tiktok-shop-hingga-shopee-kini-tak-hanya-berebut-pasar,2025-07-22 07:00:00,,Bisnis,Netral
Tiktok Shop Lays Off More Employees in Indonesia - Kompas.id,Kompas.id,https://www.kompas.id/artikel/en-tiktok-shop-phk-lebih-banyak-karyawan-di-indonesia,2025-07-09 07:00:00,,Isu,Negatif
"TikTok Bantah Rumor Tokopedia Tutup di Indonesia, Ini Keterangannya - CNBC Indonesia",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20260204194548-37-708283/tiktok-bantah-rumor-tokopedia-tutup-di-indonesia-ini-keterangannya,2026-02-04 08:00:00,,Isu,Netral
"Tokopedia, TikTok Shop dukung brand lokal mendunia lewat Harbolnas - Antara News jatim",Antara News jatim,https://jatim.antaranews.com/berita/1011139/tokopedia-tiktok-shop-dukung-brand-lokal-mendunia-lewat-harbolnas,2025-12-05 08:00:00,,Strategi,Positif
Tokopedia & TikTok Shop Dorong Penjual dan Kreator Affiliate Tembus Pasar - kontan.co.id,kontan.co.id,https://industri.kontan.co.id/news/tokopedia-tiktok-shop-dorong-penjual-dan-kreator-affiliate-tembus-pasar,2026-02-06 08:00:00,,Strategi,Positif
Tokopedia dan TikTok Shop Kembali Adakan Promo Tanggal Kembar Bulan Ini - Tempo.co,Tempo.co,https://www.tempo.co/ekonomi/tokopedia-dan-tiktok-shop-kembali-adakan-promo-tanggal-kembar-bulan-ini-2086763,2025-11-05 08:00:00,,Event,Positif
Untung-Rugi TikTok Pertahankan Tokopedia di Indonesia - Bisnis Tekno,Bisnis Tekno,https://teknologi.bisnis.com/read/20260205/84/1950322/untung-rugi-tiktok-pertahankan-tokopedia-di-indonesia,2026-02-05 08:00:00,,Isu,Netral
TikTok Bantah Rumor Tokopedia Tutup Diganti TikTok Shop - CNN Indonesia,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20260206172249-92-1325470/tiktok-bantah-rumor-tokopedia-tutup-diganti-tiktok-shop,2026-02-06 08:00:00,,Isu,Netral
Tokopedia–TikTok Shop Perkuat Ekonomi Digital Lewat Indonesia Summit 2026 - republika.co.id,republika.co.id,https://ekonomi.republika.co.id/berita/t9irpq370/tokopediatiktok-shop-perkuat-ekonomi-digital-lewat-indonesia-summit-2026,2026-01-27 08:00:00,,Event,Positif
Aplikasi Tokopedia Disebut Mau Ditutup Diganti TikTok Shop - CNBC Indonesia,CNBC Indonesia,https://www.cnbcindonesia.com/tech/20260130125136-37-706688/aplikasi-tokopedia-disebut-mau-ditutup-diganti-tiktok-shop,2026-01-30 08:00:00,,Isu,Negatif
Penjual TikTok Shop manfaatkan analisis data dongkrak penjualan - ANTARA News Sumsel,ANTARA News Sumsel,https://sumsel.antaranews.com/berita/802245/penjual-tiktok-shop-manfaatkan-analisis-data-dongkrak-penjualan?page=all,2025-10-21 07:00:00,,Strategi,Positif
"Tokopedia TikTok Shop Panaskan Akhir Tahun 2025 Lewat 12.12, Brand Lokal Tembus Pasar Asia Tenggara - Kompas.tv",Kompas.tv,https://www.kompas.tv/info-publik/635291/tokopedia-tiktok-shop-panaskan-akhir-tahun-2025-lewat-12-12-brand-lokal-tembus-pasar-asia-tenggara?page=all,2025-12-04 08:00:00,,Strategi,Positif
Tokopedia dan TikTok Shop komitmen dorong pertumbuhan ekonomi digital - ANTARA News,ANTARA News,https://www.antaranews.com/berita/5223545/tokopedia-dan-tiktok-shop-komitmen-dorong-pertumbuhan-ekonomi-digital,2025-11-06 08:00:00,,Strategi,Positif
Tokopedia-TikTok Shop Pacu Aktivitas Ekonomi selama Ramadan - investor.id,investor.id,https://investor.id/business/430732/tokopediatiktok-shop-pacu-aktivitas-ekonomi-selama-ramadan,2026-03-04 08:00:00,,Strategi,Positif
"Minat Belanja Naik Selama Ramadan, Produk Fesyen UMKM Laris Di TikTok Shop - RM.ID",RM.ID,https://rm.id/baca-berita/ekonomi-bisnis/303198/minat-belanja-naik-selama-ramadan-produk-fesyen-umkm-laris-di-tiktok-shop,2026-03-07 08:00:00,,Bisnis,Positif
Benarkah Tokopedia Bakal Tutup dan Diganti TikTok Shop? - CNN Indonesia,CNN Indonesia,https://www.cnnindonesia.com/ekonomi/20260203190217-92-1324221/benarkah-tokopedia-bakal-tutup-dan-diganti-tiktok-shop,2026-02-03 08:00:00,,Isu,Netral
Cara Membuat Keranjang Kuning di TikTok Shop untuk Jualan - FORTUNE Indonesia,FORTUNE Indonesia,https://www.fortuneidn.com/tech/cara-membuat-keranjang-kuning-di-tiktok-shop-00-z4fpb-r6m8gz,2026-02-24 08:00:00,,Edukasi,Netral
"Rekening Auto Ludes, Waspada Penipuan Baru Marak di TikTok Shop - CNBC Indonesia",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20251107143539-37-683235/rekening-auto-ludes-waspada-penipuan-baru-marak-di-tiktok-shop,2025-11-07 08:00:00,,Isu,Negatif
"TikTok Shop Resmi Ubah 7 Aturan di 2026, Seller yang Tidak Adaptasi Bisa Kehilangan Akses Jualan! - Desakarangbendo.id",Desakarangbendo.id,https://desakarangbendo.id/berita-ekonomi-bisnis/4012282452/tiktok-shop-resmi-ubah-7-aturan-di-2026-seller-yang-tidak-adaptasi-bisa-kehilangan-akses-jualan/,2026-02-09 08:00:00,,Regulasi,Negatif
Kementerian UMKM akan Siapkan Aturan soal Integrasi Seller TikTok Shop - Tempo.co,Tempo.co,https://www.tempo.co/ekonomi/kementerian-umkm-akan-siapkan-aturan-soal-integrasi-seller-tiktok-shop-1674203,2025-06-11 07:00:00,,Regulasi,Netral
Potensi yang Hilang Saat TikTok Live Dimatikan di Indonesia - Bloomberg Technoz,Bloomberg Technoz,https://www.bloombergtechnoz.com/detail-news/82663/potensi-yang-hilang-saat-tiktok-live-dimatikan-di-indonesia,2025-09-02 07:00:00,,Isu,Negatif
Tokopedia dan TikTok Shop Dorong Pertumbuhan Pengusaha Lokal - RRI.co.id,RRI.co.id,https://rri.co.id/bisnis/2143187/tokopedia-dan-tiktok-shop-dorong-pertumbuhan-pengusaha-lokal,2026-01-29 08:00:00,,Strategi,Positif
"Hadirkan Indonesia Summit 2026, Tokopedia dan TikTok Shop Apresiasi Para Mitra - MIX Marcomm",MIX Marcomm,https://mix.co.id/marcomm/news-trend/hadirkan-indonesia-summit-2026-tokopedia-dan-tiktok-shop-apresiasi-para-mitra/,2026-02-05 08:00:00,,Event,Positif
TikTok Shop Buka Suara soal Kabar PHK Karyawan di Indonesia - kumparan.com - Kumparan.com,Kumparan.com,https://kumparan.com/kumparanbisnis/tiktok-shop-buka-suara-soal-kabar-phk-karyawan-di-indonesia-25Bozf8l2u2,2025-06-02 07:00:00,,Isu,Netral
Harbolnas 12.12: Tokopedia dan TikTok Shop Genjot Inisiatif Lokal Mendunia - SWA.co.id,SWA.co.id,https://swa.co.id/read/466879/harbolnas-1212-tokopedia-dan-tiktok-shop-genjot-inisiatif-lokal-mendunia,2025-12-04 08:00:00,,Event,Positif
Universitas Ma Chung dan TikTok Shop Cetak Digital Entrepreneur Lewat Bootcamp - beritajatim.com,beritajatim.com,https://beritajatim.com/universitas-ma-chung-dan-tiktok-shop-cetak-digital-entrepreneur-lewat-bootcamp,2026-02-14 08:00:00,,Edukasi,Positif
TikTok Shop by Tokopedia Buka Peluang Karier Baru Lewat WaktunyaSTARt! - kumparan.com - Kumparan.com,Kumparan.com,https://kumparan.com/kumparanbisnis/tiktok-shop-by-tokopedia-buka-peluang-karier-baru-lewat-waktunyastart-267yctfVU08,2025-10-27 07:00:00,,Edukasi,Positif
Melissa Siska Juminto Lepas Jabatan Presiden Direktur Tokopedia TikTok Shop - Katadata.co.id,Katadata.co.id,https://katadata.co.id/digital/e-commerce/6970856a597b7/melissa-siska-juminto-lepas-jabatan-presiden-direktur-tokopedia-tiktok-shop,2026-01-21 08:00:00,,Isu,Netral
Strategi Kalodata Pacu Pertumbuhan Bisnis Pengguna TikTok Shop - investor.id,investor.id,https://investor.id/business/414672/strategi-kalodata-pacu-pertumbuhan-bisnis-pengguna-tiktok-shop,2025-10-24 07:00:00,,Strategi,Positif
"Profesi LIVE Host Paling Dibutuhkan di Indonesia, TikTok Shop by Tokopedia Membekali Masyarakat dengan Keterampilan dan Wawasan - Jakartakita.com",Jakartakita.com,https://jakartakita.com/2025/10/22/profesi-live-host-paling-dibutuhkan-di-indonesia-tiktok-shop-by-tokopedia-membekali-masyarakat-dengan-keterampilan-dan-wawasan/,2025-10-22 07:00:00,,Edukasi,Positif
Tokopedia dan TikTok Shop Hadirkan Indonesia Summit 2026 - Marketeers,Marketeers,https://www.marketeers.com/tokopedia-dan-tiktok-shop-hadirkan-indonesia-summit-2026/,2026-01-27 08:00:00,,Event,Netral
"TikTok, Tokopedia dan TikTok Shop Kampanyekan Ramadan Ekstra Seru - Marketeers",Marketeers,https://www.marketeers.com/tiktok-tokopedia-dan-tiktok-shop-kampanyekan-ramadan-ekstra-seru/,2026-03-06 08:00:00,,Event,Positif
Tokopedia-TikTok Shop Perkuat Ekosistem Penjual & Affiliate Creator di Era Discovery E-commerce - JPNN.com,JPNN.com,https://www.jpnn.com/news/tokopedia-tiktok-shop-perkuat-ekosistem-penjual-affiliate-creator-di-era-discovery-e-commerce,2026-01-27 08:00:00,,Strategi,Positif
TikTok Didenda Rp 15 Miliar di RI soal Pelanggaran Akuisisi Tokopedia - CNBC Indonesia,CNBC Indonesia,https://www.cnbcindonesia.com/tech/20250929161632-37-671193/tiktok-didenda-rp-15-miliar-di-ri-soal-pelanggaran-akuisisi-tokopedia,2025-09-29 07:00:00,,Regulasi,Negatif
"Sinergi TikTok, Tokopedia & TikTok Shop: Ramadan Seru, Aktivitas Ekonomi Melaju - Espos.id",Espos.id,https://bisnis.espos.id/sinergi-tiktok-tokopedia-tiktok-shop-ramadan-seru-aktivitas-ekonomi-melaju-2195181,2026-03-04 08:00:00,,Strategi,Positif
TikTok Shop dan Tokopedia Kolaborasi Dorong Aktivitas Ekonomi selama Ramadan - SINDOnews Ekbis,SINDOnews Ekbis,https://ekbis.sindonews.com/read/1683721/34/tiktok-shop-dan-tokopedia-kolaborasi-dorong-aktivitas-ekonomi-selama-ramadan-1772701407,2026-03-05 08:00:00,,Strategi,Positif
Mendag Blakblakan soal Penjual Tokopedia Dialihkan ke TikTok Shop - Tempo.co,Tempo.co,https://www.tempo.co/ekonomi/mendag-blakblakan-soal-penjual-tokopedia-dialihkan-ke-tiktok-shop-1643028,2025-06-04 07:00:00,,Isu,Netral
"TikTok, Tokopedia, TikTok Shop Ramaikan Ekonomi Ramadan - Bisnis.com",Bisnis.com,https://market.bisnis.com/read/20260312/192/1959702/tiktok-tokopedia-tiktok-shop-ramaikan-ekonomi-ramadan,2026-03-12 07:00:00,,Bisnis,Positif
"Cek Diskon Shopee, Tokopedia, TikTok Shop, dan Lazada Selama Ramadan 2026 - Bisnis Tekno",Bisnis Tekno,https://teknologi.bisnis.com/read/20260223/84/1954902/cek-diskon-shopee-tokopedia-tiktok-shop-dan-lazada-selama-ramadan-2026,2026-02-23 08:00:00,,Event,Positif
TikTok Shop by Tokopedia lewat WaktunyaSTARt! Jawab Tingginya Peluang LIVE Host - Espos.id,Espos.id,https://bisnis.espos.id/tiktok-shop-by-tokopedia-lewat-waktunyastart-jawab-tingginya-peluang-live-host-2153695,2025-10-21 07:00:00,,Edukasi,Positif
Tiktok Respons Diplomatis Kabar PHK Karyawan Tokopedia - Kompas.id,Kompas.id,https://www.kompas.id/artikel/tiktok-respon-isu-phk-di-tokopedia-evaluasi-dan-penyesuaian-rutin-dilakukan,2025-08-25 07:00:00,,Isu,Negatif
Tokopedia dan TikTok Shop Perkuat Ekosistem Penjual dan Affiliate Creator - SINDOnews Ekbis,SINDOnews Ekbis,https://ekbis.sindonews.com/read/1670653/34/tokopedia-dan-tiktok-shop-perkuat-ekosistem-penjual-dan-affiliate-creator-1769518883,2026-01-27 08:00:00,,Strategi,Positif
"Bos Tokopedia dan TikTok E-commerce Mundur, Siapa Penggantinya? - CNBC Indonesia",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20260120145710-37-703751/bos-tokopedia-dan-tiktok-e-commerce-mundur-siapa-penggantinya,2026-01-20 08:00:00,,Isu,Netral
"Profesi LIVE Host Makin Diminati, TikTok Shop by Tokopedia Hadirkan Insiatif WaktunyaSTARt! - MIX Marcomm",MIX Marcomm,https://mix.co.id/marcomm/news-trend/profesi-live-host-makin-diminati-tiktok-shop-by-tokopedia-hadirkan-insiatif-waktunyastart/,2025-10-20 07:00:00,,Edukasi,Positif
Promo Guncang di Tokopedia dan TikTok Shop Dorong Pertumbuhan Ekonomi Digital - kumparan.com - Kumparan.com,Kumparan.com,https://kumparan.com/kumparanbisnis/promo-guncang-di-tokopedia-dan-tiktok-shop-dorong-pertumbuhan-ekonomi-digital-26LrjQa8aFW,2025-12-01 08:00:00,,Strategi,Positif
TikTok Shop by Tokopedia lewat WaktunyaSTARt! Jawab Tingginya Permintaan Profesi LIVE Host di Indonesia - Batam Pos,Batam Pos,https://news.batampos.co.id/tiktok-shop-by-tokopedia-lewat-waktunyastart-jawab-tingginya-permintaan-profesi-live-host-di-indonesia/,2025-10-20 07:00:00,,Edukasi,Positif
Sinergi Tiktok Shop dan Tokopedia Dorong Pertumbuhan Ekonomi Digital Indonesia - Medcom.id,Medcom.id,https://www.medcom.id/ekonomi/ekonomi-digital/Obz56m7N-sinergi-tiktok-shop-dan-tokopedia-dorong-pertumbuhan-ekonomi-digital-indonesia,2025-11-05 08:00:00,,Strategi,Positif
"Perkuat Ekosistem E-commerce, Tokopedia dan TikTok Shop Hadirkan Indonesia Summit 2026 - BeritaSatu.com",BeritaSatu.com,https://www.beritasatu.com/network/bisnistoday/766122/perkuat-ekosistem-e-commerce-tokopedia-dan-tiktok-shop-hadirkan-indonesia-summit-2026,2026-01-30 08:00:00,,Event,Positif
Tokopedia dan TikTok Shop Dorong Pertumbuhan UMKM - Marketeers,Marketeers,https://www.marketeers.com/tokopedia-dan-tiktok-shop-dorong-pertumbuhan-umkm/,2025-11-05 08:00:00,,Strategi,Positif
Affiliate TikTok Shop Bisa Jadi Peluang Usaha Jelang Ramadan - FORTUNE Indonesia,FORTUNE Indonesia,https://www.fortuneidn.com/business/jelang-ramadan-affiliate-tiktok-shop-bisa-cetak-omzet-ratusan-juta-00-4vfn9-65z258,2026-02-18 08:00:00,,Strategi,Positif
Tokopedia dan TikTok Shop Gelar Indonesia Summit 2026 - Media Indonesia,Media Indonesia,https://mediaindonesia.com/nusantara/854358/tokopedia-dan-tiktok-shop-gelar-indonesia-summit-2026-,2026-01-27 08:00:00,,Event,Positif
"Syarat dan Cara Monetisasi TikTok Terbaru 2026, Panduan Lengkap untuk Pemula - Desakarangbendo.id",Desakarangbendo.id,https://desakarangbendo.id/berita-ekonomi-bisnis/4611523877/syarat-dan-cara-monetisasi-tiktok-terbaru-2026-panduan-lengkap-untuk-pemula/,2026-02-18 08:00:00,,Edukasi,Netral
Program WaktunyaSTARt! TikTok Shop by Tokopedia Cetak LIVE Host Profesional - kontan.co.id,kontan.co.id,https://industri.kontan.co.id/news/program-waktunyastart-tiktok-shop-by-tokopedia-cetak-live-host-profesional,2025-10-27 07:00:00,,Edukasi,Positif
"Tokopedia dan TikTok Shop Gelar Indonesia Summit 2026, Perkuat Ekosistem Penjual dan Affiliate Creator di Era Discovery e-Commerce - Suara Merdeka Jakarta - Suara Merdeka Jakarta",Suara Merdeka Jakarta,https://jakarta.suaramerdeka.com/nasional/13416630207/tokopedia-dan-tiktok-shop-gelar-indonesia-summit-2026-perkuat-ekosistem-penjual-dan-affiliate-creator-di-era-discovery-e-commerce,2026-01-27 08:00:00,,Event,Positif
